Country,Year,InjuriesPerMillion
Chile,2005,2937.9
Chile,2004,2890
Chile,2003,2847.8
Chile,2002,2802.2
Chile,2001,2912
Chile,2000,3030.2
Chile,1999,3323.7
Chile,1998,3480.1
Chile,1997,3423.7
Chile,1996,3464
Chile,1995,3183.7
Chile,1994,2942.8
Chile,1993,3004.1
Chile,1992,2952.2
Chile,1991,2710
Chile,1990,2618.2
Chile,1989,2424
Chile,1988,2138.2
Chile,1987,1968.5
Chile,1986,1947.2
Chile,2021,2724.6
Chile,2020,2240.1
Chile,2019,3107
Chile,2018,3204.3
Chile,2017,3464.4
Chile,2016,3586.1
Chile,2015,3309.4
Chile,2014,3340
Chile,2013,3471.9
Chile,2012,3138.4
Costa Rica,2017,3901.4
Costa Rica,2016,4294.8
Costa Rica,2015,3754.6
Costa Rica,2014,3554.7
Costa Rica,2013,3487.9
Costa Rica,2012,2714.7
Costa Rica,2021,3448
Costa Rica,2020,2870.7
Costa Rica,2019,3786.9
Czechia,2008,2733
Czechia,2007,2828
Czechia,1973,3200
Czechia,1972,3292
Czechia,1971,3394
Czechia,1970,3389
Czechia,1983,2219
Czechia,1982,2116
Czechia,1981,2242
Czechia,1980,2311
Czechia,1979,2444
Czechia,1978,2833
Czechia,1977,3007
Czechia,1976,3062
Czechia,1975,2959
Czechia,1974,2956
Czechia,2006,2738
Czechia,2005,3147
Czechia,2004,3356
Czechia,2003,3474
Czechia,2002,3371
Czechia,2001,3294
Czechia,2000,3158
Czechia,1999,3376
Czechia,1998,3422
Czechia,1997,3553
Czechia,1996,3659
Czechia,1995,3578
Czechia,1994,3451
Czechia,1993,3124
Czechia,1992,3101
Czechia,1991,2668
Czechia,1990,2680
Czechia,1989,2342
Czechia,1988,2265
Czechia,1987,2158
Czechia,1986,2147
Czechia,1985,2207
Czechia,1984,2206
Czechia,2021,2070
Czechia,2020,2115
Czechia,2019,2434
Czechia,2018,2596
Czechia,2017,2550
Czechia,2016,2557
Czechia,2015,2551
Czechia,2014,2504
Czechia,2013,2406
Czechia,2012,2428
Czechia,2011,2434
Czechia,2010,2318
Denmark,2008,1078
Denmark,2007,1219
Denmark,1973,4671
Denmark,1972,4962
Denmark,1971,5314
Denmark,1970,5163
Denmark,1983,2569
Denmark,1982,2626
Denmark,1981,2665
Denmark,1980,2940
Denmark,1979,3222
Denmark,1978,3824
Denmark,1977,3862
Denmark,1976,3863
Denmark,1975,3972
Denmark,1974,3709
Denmark,2006,1198
Denmark,2005,1216
Denmark,2004,1396
Denmark,2003,1560
Denmark,2002,1635
Denmark,2001,1580
Denmark,2000,1703
Denmark,1999,1765
Denmark,1998,1730
Denmark,1997,1820
Denmark,1996,1864
Denmark,1995,1910
Denmark,1994,1874
Denmark,1993,1914
Denmark,1992,2033
Denmark,1991,1992
Denmark,1990,2072
Denmark,1989,2269
Denmark,1988,2298
Denmark,1987,2344
Denmark,1986,2616
Denmark,1985,2709
Denmark,1984,2683
Denmark,2021,445
Denmark,2020,472
Denmark,2019,529
Denmark,2018,567
Denmark,2017,545
Denmark,2016,563
Denmark,2015,555
Denmark,2014,566
Denmark,2013,605
Denmark,2012,646
Denmark,2011,725
Denmark,2010,749
Estonia,2014,1297
Estonia,2013,1313
Estonia,1979,1146
Estonia,1978,1153
Estonia,1977,1273
